Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
GALAXY GOLDENDALE,GALAXY HOMES PVT LTD,Residential (Apartment),2015-11-14,2023-02-11,K-RERA/PRJ/277/2020,2022-03-04,72,70,Inprogress,Ernakulam,ELAMKULAM,Kanayannur
SPACETON TREETALES,SPACETON BUILDERS PRIVATE LIMITED,Villas (Plots & Buildings),2018-10-05,2029-06-30,K-RERA/PRJ/178/2021,2021-09-07,13,12,Inprogress,Ernakulam,KAKKANAD,Kanayannur
NIRVANA BY AVNI HOMES,AVNI HOMES,Villas (Plots & Buildings),2021-02-11,2025-12-31,K-RERA/PRJ/ERN/043/2021,2021-08-26,15,14,Completed,Ernakulam,KIZHAKKAMBALAM,Kunnathunad
SKYLINE THE ONE,M/s Skyline Builders,Residential (Apartment),2021-11-20,2026-11-19,K-RERA/PRJ/ERN/075/2021,2021-11-24,26,26,Inprogress,Ernakulam,EDAPPALLY SOUTH,Kanayannur
DD JAL DARSHAN,Desai Rachana Private Limited,Residential (Apartment),2021-09-01,2026-12-31,K-RERA/PRJ/TVM/048/2021,2021-08-31,68,33,Inprogress,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
SOWPARNIKA CAPITAL COUNTY,Sowparnika Projects & Infrasturcture Pvt Ltd,Plots,2021-12-30,2025-12-14,K-RERA/PRJ/126/2021,2021-06-11,,7,Inprogress,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
JVN CENTRAL,JVN HOMES PRIVATE LIMITED,Residential (Apartment),2021-04-01,2025-05-17,K-RERA/PRJ/ERN/022/2021,2021-06-14,16,11,Completed,Ernakulam,VELLOORKUNNAM,Muvattupuzha
RDS ECHO,RDS REALTIES LTD,Residential (Apartment),2021-07-15,2025-06-15,K-RERA/PRJ/ERN/024/2021,2021-06-22,27,27,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
PENTIUM TRANQUIL VERTICAL HOME,PENTIUM CONSTRUCTION PRIVATE LIMITED,Residential (Apartment),2021-09-01,2025-02-04,K-RERA/PRJ/KKD/063/2021,2021-11-05,28,14,Inprogress,Kozhikode,KACHERY,Kozhikode
VICTORIA REALTORS UPASANA,DHARMIC LIVING PVT LTD,Villas (Plots & Buildings),2021-07-01,2023-07-01,K-RERA/PRJ/PKD/028/2021,2021-07-05,138,25,Completed,Palakkad,PARALI II,Palakkad
Hill Woods,Home Land Build Estate Pvt Ltd,Plots,2015-06-15,2021-04-19,K-RERA/PRJ/165/2021,2022-10-27,,16,Completed,Ernakulam,PUTHENCRUZ,Kunnathunad
THE AEROPOLIS BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2020-10-17,2024-05-31,K-RERA/PRJ/200/2020,2021-07-09,33,19,Completed,Thiruvananthapuram,PETTAH,THIRUVANANTHAPRUAM
GREEN VIEWS,Chothy's Building Promoters Pvt Ltd,Villas (Plots & Buildings),2018-08-10,2023-02-28,K-RERA/PRJ/116/2020,2021-07-20,35,35,Completed,Thiruvananthapuram,VILAPPIL,KATTAKADA
THE ELITE,Chothy's Building Promoters Pvt Ltd,Villas (Plots & Buildings),2021-01-23,2026-01-22,K-RERA/PRJ/113/2021,2021-09-18,49,49,Completed,Thiruvananthapuram,MELTHONACKAL,THIRUVANANTHAPRUAM
REGALIA APARTMENT,KSATHEESAN REALTORS PRIVATE LIMITED,Residential (Apartment),2017-08-25,2021-03-31,K-RERA/PRJ/296/2020,2021-07-29,25,0,Completed,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
ACCORD FERRY BAY,ACCORD HABITAT PRIVATE LIMITED,Villas (Plots & Buildings),2016-06-01,2024-06-30,K-RERA/PRJ/157/2021,2022-01-18,16,11,Completed,Ernakulam,ELOOR,Paravur
NATE PANACHE,NATE BUILDERS PRIVATE LIMITED,Residential (Apartment),2019-01-01,2023-03-31,K-RERA/PRJ/077/2021,2021-07-29,13,8,Completed,Ernakulam,ERNAKULAM,Kanayannur
Tulsi Majestic Court,TULSI DEVELOPERS INDIA PRIVATE LIMITED,Residential (Apartment),2018-05-05,2022-12-31,K-RERA/PRJ/ERN/056/2022,2022-03-29,14,0,Completed,Ernakulam,ERNAKULAM,Kanayannur
THE VINTAGE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2018-06-05,2021-07-31,K-RERA/PRJ/021/2020,2021-07-28,36,30,Completed,Thiruvananthapuram,PATTOM,THIRUVANANTHAPRUAM
"YESKAY REGALIA ,TOWER 2",SUNILKUMAR  SUBRAMANIAM,Shops/Office Space (Commercial),2019-12-31,2023-03-30,K-RERA/PRJ/295/2020,2022-02-09,27,18,Completed,Ernakulam,KANAYANNUR,Kanayannur
GALAXY HIGHFIELD,GALAXY HOMES PVT LTD,Residential (Apartment),2015-07-23,2022-01-22,K-RERA/PRJ/181/2021,2022-03-04,72,60,Completed,Ernakulam,ELAMKULAM,Kanayannur
SMS SHRISHTI,SMS BUILDERS,Residential (Apartment),2021-08-26,2024-02-26,K-RERA/PRJ/ERN/036/2021,2021-08-11,12,8,Completed,Ernakulam,MARADU,Kanayannur
NUCLEUS RAYMOUNT VILLAS AND APARTMENTS,NUCLEUS PREMIUM PROPERTIES PVT LTD,Villas (Plots & Buildings),2016-10-08,2022-05-30,K-RERA/PRJ/060/2021,2021-09-01,52,44,Inprogress,Ernakulam,THRIKKAKARA NORTH,Kanayannur
THE 44 CLUB,ICLOUD HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2017-11-28,2024-12-31,K-RERA/PRJ/183/2021,2021-08-25,37,33,Completed,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
NUCLEUS HEYDAY VILLAS AND APARTMENTS,NUCLEUS PREMIUM PROPERTIES PVT LTD,Villas (Plots & Buildings),2016-05-05,2022-04-30,K-RERA/PRJ/091/2021,2021-08-10,16,15,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur
SOWPARNIKA ELANIA,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2018-02-01,2025-12-31,K-RERA/PRJ/037/2021,2021-06-11,74,17,Inprogress,Kottayam,CHETHIPPUZHA,Changanassery
CORDON TRINITY,CORDON CONSTRUCTORS & REALTORS Pvt Ltd,Residential (Apartment),2016-08-01,2020-01-30,K-RERA/PRJ/005/2021,2021-07-26,20,20,Completed,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
VICTORIA REALTORS TANIMA,DHARMIC LIVING PVT LTD,Villas (Plots & Buildings),2021-06-01,2023-06-01,K-RERA/PRJ/TSR/019/2021,2021-06-11,19,19,Completed,Thrissur,EDAKKALATHUR,Thrissur
Levita Sapphire,Levita Builders and Developers Private Limited,Villas (Plots & Buildings),2018-06-06,2022-12-31,K-RERA/PRJ/169/2021,2021-12-16,13,9,Completed,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
Travancore Grand County Neo Classic Villas,Travancore Builders Pvt Ltd,Villas (Plots & Buildings),2015-12-01,2023-05-08,K-RERA/PRJ/ERN/028/2022,2022-02-23,27,23,Inprogress,Ernakulam,THRIKKAKARA NORTH,Kanayannur
CJs HARITHA CITY PLAZA,CJ's HARITHA HOMES,Residential (Apartment),2016-01-04,2021-10-30,K-RERA/PRJ/163/2021,2021-09-14,75,12,Completed,Kottayam,MUTTAMBALAM,Kottayam
CONFIDENT OAKWOOD,Confident Projects Residential,Residential (Apartment),2021-08-17,2026-08-17,K-RERA/PRJ/KKD/045/2021,2021-08-26,93,93,Inprogress,Kozhikode,NELLIKODE,Kozhikode
LAVENDER BAY,Synthite Industries Pvt Ltd,Villas (Plots & Buildings),2017-04-03,2022-09-30,K-RERA/PRJ/207/2020,2022-01-04,32,21,Completed,Ernakulam,AIKARANAD NORTH,Kunnathunad
CORDIAL MAGNOLIA,CORDIAL DEVELOPERS PVT LTD,Residential (Apartment),2021-03-10,2025-07-09,K-RERA/PRJ/096/2021,2021-07-21,81,62,Completed,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
CAMELOT,APSTONE INFRASTRUCTURE Pvt Ltd,Villas (Plots & Buildings),2020-07-01,2024-12-31,K-RERA/PRJ/135/2021,2021-08-16,15,0,Inprogress,Alappuzha,CHENGANNUR,Chengannur
DEODATE SKYPARK,DEODATE ENVIRONMENTAL HOMES PVT LTD,Villas (Plots & Buildings),2021-03-16,2026-03-08,K-RERA/PRJ/TVM/049/2021,2021-09-14,19,17,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
NANDANAM GREENWOODS,SALIM ASSOCIATES BUILDERS AND DEVELOPERS PRIVATE LIMITED,Villas (Plots & Buildings),2021-03-18,2026-03-31,K-RERA/PRJ/TSR/041/2021,2021-08-25,15,15,Inprogress,Thrissur,VIYYUR,Thrissur
Indraneelam Vantage,Indraneelam Builders,Villas (Plots & Buildings),2015-04-01,2026-12-30,K-RERA/PRJ/171/2021,2021-11-22,13,11,Inprogress,Thrissur,GURUVAYUR,Chavakkad
TREESA GARDENS,PAUL ALUKKAS DEVELOPERS PRIVATE LIMITED,Villas (Plots & Buildings),2017-03-18,2025-02-28,K-RERA/PRJ/155/2021,2021-12-09,15,12,Inprogress,Ernakulam,EDAPPALLY SOUTH,Kanayannur
SUN ELECASA,SUN PROJECTS INDIA PRIVATE LIMITED,Residential (Apartment),2014-07-11,2018-07-27,K-RERA/PRJ/186/2021,2021-11-22,54,0,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
THE UPTOWN BY INDROYAL,INDROYAL PROPERTIES PRIVATE LIMITED,Residential (Apartment),2015-04-01,2023-12-31,K-RERA/PRJ/052/2021,2021-12-14,222,91,Completed,Thiruvananthapuram,VANCHIYOOR,THIRUVANANTHAPRUAM
PARADISE,PNR HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2021-08-15,2024-08-15,K-RERA/PRJ/TVM/040/2021,2021-08-24,9,9,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
SANROYAL ADONIA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2019-06-11,2025-07-24,K-RERA/PRJ/032/2020,2022-03-04,57,54,Inprogress,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
Alka Skywings Phase 1,Alka Ventures,Residential (Apartment),2015-07-30,2024-12-30,K-RERA/PRJ/184/2021,2021-09-24,324,0,Inprogress,Ernakulam,KAKKANAD,Kanayannur
SKYSCAPE,CASADEL BUILDERS INDIA PRIVATE LIMITED,Residential (Apartment),2018-04-01,2022-04-01,K-RERA/PRJ/257/2020,2022-02-03,14,12,Completed,Ernakulam,KUNNATHUNAD,Kunnathunad
SANROYAL-AREENA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2018-10-16,2026-06-30,K-RERA/PRJ/098/2020,2022-03-07,32,32,Inprogress,Thrissur,OLLUKKARA,Thrissur
VINTAGE HEIGHTS BUILDERS AND DEVELOPERS,VINTAGE HEIGHTS BUILDERS AND DEVELOPERS,Plots,2019-07-11,2026-06-30,K-RERA/PRJ/132/2021,2022-03-04,,0,Completed,Palakkad,VANIYAKULAM I,Ottappalam
Pushpagiriyil Santos City,Pushpagiriyil Builders and Developers,Villas (Plots & Buildings),2021-07-19,2026-09-01,K-RERA/PRJ/KTM/065/2021,2021-11-08,54,52,Inprogress,Kottayam,PAYIPPADU,Changanassery
ORCHID APARTMENTS,IDFIX BUILDERS PVT LTD,Residential (Apartment),2019-03-29,2022-04-10,K-RERA/PRJ/136/2020,2021-10-07,20,0,Completed,Ernakulam,MARADY,Muvattupuzha
KCHELL RESIDENCY,KCHELL INFRASTRUCTURE AND TRADING COMPANY PRIVATE LIMITED,Mixed (Commercial & Residential),2012-08-01,2019-06-06,K-RERA/PRJ/KLM/078/2021,2021-12-16,66,30,Completed,Kollam,SHAKTHIKULANGARA,Kollam
SFS ORCHARD,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2021-10-01,2025-08-31,K-RERA/PRJ/TVM/056/2021,2021-10-06,128,121,Completed,Thiruvananthapuram,PALLIPURAM TRIVANDRUM,THIRUVANANTHAPRUAM
FEZCO FREEZIA APARTMENTS,FEZCO FREEZIA PRIVATE LIMITED,Residential (Apartment),2010-01-27,2026-05-18,K-RERA/PRJ/137/2021,2021-11-17,92,91,Inprogress,Kozhikode,KODANCHERY,THAMARASSERY
ASSET CELESTE,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2021-10-10,2025-03-31,K-RERA/PRJ/KTM/064/2021,2021-11-08,21,19,Completed,Kottayam,PUTHUPPALLY KOTTAYAM,Kottayam
CIVICON ROYALE APARTMENTS,VARGHESE CD  CHENGINIMATTM,Residential (Apartment),2015-07-27,2021-07-20,K-RERA/PRJ/148/2021,2022-07-18,28,6,Completed,Thrissur,KIZHAKKE CHALAKUDI,CHALAKKUDY
RAHEL HOMES,PARASIO RETIREMENT HOME,Residential (Apartment),2019-06-06,2020-12-05,K-RERA/PRJ/174/2021,2022-07-14,28,0,Completed,Ernakulam,AIKARANAD NORTH,Kunnathunad
SANROYAL ELANTA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2018-08-06,2026-02-05,K-RERA/PRJ/280/2020,2022-03-07,74,74,Inprogress,Thrissur,CHIYYARAM,Thrissur
SANROYAL HASTHA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2017-09-20,2024-06-30,K-RERA/PRJ/010/2021,2022-03-08,64,64,Inprogress,Thrissur,CHAVAKKAD,Chavakkad
Prakriti Aawaas,Prakriti Architects and Builders,Villas (Plots & Buildings),2016-03-02,2023-12-31,K-RERA/PRJ/078/2021,2022-07-16,18,18,Completed,Ernakulam,KAKKANAD,Kanayannur
The Pavillion Vazhakkala,CJG Holdings India Pvt Ltd,Residential (Apartment),2017-07-10,2021-02-26,K-RERA/PRJ/192/2021,2022-03-03,46,0,Completed,Ernakulam,VAZHAKKALA,Kanayannur
Sowparnika Highlands,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2014-12-15,2022-02-05,K-RERA/PRJ/TVM/050/2022,2022-03-24,95,95,Completed,Thiruvananthapuram,PALLIPURAM TRIVANDRUM,THIRUVANANTHAPRUAM
MYPOD 1.0,CRESCENT BUILDERS,Residential (Apartment),2022-03-01,2025-02-28,K-RERA/PRJ/KKD/072/2021,2021-11-20,50,15,Inprogress,Kozhikode,NELLIKODE,Kozhikode
MULBERRY HOMES - CASA BELLA,NITHIN MICHELLE BUILDERS AND DEVELOPERS P LTD,Villas (Plots & Buildings),2022-01-01,2026-02-12,K-RERA/PRJ/KTM/076/2021,2021-11-27,15,2,Inprogress,Kottayam,PERUMBAYIKKADU,Kottayam
ARYA BHANGY CENTARA,ARYA BHANGY BUILDERS PVT LTD,Mixed (Commercial & Residential),2021-12-01,2025-11-30,K-RERA/PRJ/ERN/210/2022,2022-12-20,32,15,Inprogress,Ernakulam,POONITHURA,Kanayannur
SANROYAL SANETA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2019-03-15,2026-04-14,K-RERA/PRJ/TVM/012/2022,2022-01-28,35,35,Inprogress,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
SHANOOR TECH MERIDIAN,SHANOOR PROJECTS AND REALTORS PVT LTD,Residential (Apartment),2021-07-20,2026-03-31,K-RERA/PRJ/TVM/057/2021,2021-10-06,69,69,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Q3 LUXE VILLAS,QUE DEVELOPERS LLP,Villas (Plots & Buildings),2020-11-30,2025-04-24,K-RERA/PRJ/KKD/079/2021,2021-12-16,23,19,Inprogress,Kozhikode,OLAVANNA,Kozhikode
TRIAMITY WOODSVILLE,TRIAMITY DWELLINGS PRIVATE LIMITED,Residential (Apartment),2018-02-07,2022-06-30,K-RERA/PRJ/ERN/030/2022,2022-03-02,18,15,Completed,Ernakulam,ALUVA WEST,Aluva
WELKIN VILLAS,Joseph Devasia Ponmankal,Villas (Plots & Buildings),2019-07-09,2028-06-30,K-RERA/PRJ/269/2020,2021-08-02,28,13,Inprogress,Kottayam,LALAM,Meenachil
MELLOW SKYWATCH,MELLOW FOUNDATIONS BUILDERS AND DEVELOPERS PVT LTD,Residential (Apartment),2013-02-02,2020-06-30,K-RERA/PRJ/152/2021,2022-07-19,49,49,Completed,Kozhikode,VENGERI,Kozhikode
CIDBI CHALET,A A ABDUL LATHIF,Residential (Apartment),2021-09-20,2023-12-31,K-RERA/PRJ/TSR/059/2021,2021-10-06,28,28,Completed,Thrissur,CHIYYARAM,Thrissur
SFS HIGHLAND PARK,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2021-10-01,2025-05-31,K-RERA/PRJ/ERN/050/2021,2021-09-16,73,72,Completed,Ernakulam,VAZHAKKALA,Kanayannur
ABAD INSPIRATIONS,ABAD BUILDERS PVT LTD,Residential (Apartment),2021-01-01,2024-05-31,K-RERA/PRJ/ERN/061/2021,2021-10-18,24,15,Completed,Ernakulam,POONITHURA,Kanayannur
Tufnell Garden Block 4 and 5,Jain Housing And Constructions Limited,Residential (Apartment),2010-10-31,2024-05-31,K-RERA/PRJ/ERN/011/2022,2022-01-27,304,92,Completed,Ernakulam,KAKKANAD,Kanayannur
CVC-PUTHETHU-PETRA,CHERIAN VARKEY CONSTRUCTION COMPANY PRIVATE LIMITED,Residential (Apartment),2014-11-28,2021-09-30,K-RERA/PRJ/081/2021,2022-03-07,18,0,Completed,Kottayam,MUTTAMBALAM,Kottayam
Padmasree Ramsarovar,Padmasree Developers Pvt Ltd,Residential (Apartment),2021-12-15,2025-06-01,K-RERA/PRJ/ERN/086/2022,2022-05-17,20,10,Inprogress,Ernakulam,NADAMA,Kanayannur
ASSET LUMINANCE,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2021-11-30,2024-11-30,K-RERA/PRJ/ERN/071/2021,2021-11-18,16,16,Completed,Ernakulam,VAZHAKKALA,Kanayannur
KRISHNA HOMES AMBADI RESIDENCY,BALARAMAN K N,Residential (Apartment),2017-05-31,2023-12-31,K-RERA/PRJ/161/2020,2022-02-10,18,16,Inprogress,Thrissur,THRISSUR,Thrissur
KMP Vaishnavapuri,Parameswaran Kizhakkemadam Mahadeva Iyyer,Residential (Apartment),2015-03-20,2021-09-18,K-RERA/PRJ/187/2021,2022-07-18,14,8,Completed,Thrissur,THRISSUR,Thrissur
ANTA - HILL TREE,ANTA BUILDERS & DEVELOPERS PVT LTD,Villas (Plots & Buildings),2021-11-01,2026-10-31,K-RERA/PRJ/TVM/035/2022,2022-03-07,7,6,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
Sowparnika YARA,Sowparnika Supertech pvt Ltd,Residential (Apartment),2021-11-15,2026-12-31,K-RERA/PRJ/TVM/073/2021,2021-11-20,80,72,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Hanco Fort Heights,Hanco Property Developers Pvt Ltd,Residential (Apartment),2021-12-01,2029-11-30,K-RERA/PRJ/PKD/009/2022,2022-01-21,80,15,Inprogress,Palakkad,PALAKKAD-3,Palakkad
MULBERRY HOMES-PAM RIDGE,NITHIN MICHELLE BUILDERS AND DEVELOPERS P LTD,Residential (Apartment),2022-01-01,2024-07-27,K-RERA/PRJ/TSR/074/2021,2021-11-24,18,0,Inprogress,Thrissur,KUTTOOR THRISSUR,Thrissur
ECLAT TOWER,Nizwa Property Developers,Residential (Apartment),2019-12-16,2022-09-30,K-RERA/PRJ/TVM/051/2022,2022-03-24,28,0,Inprogress,Thiruvananthapuram,KADINAMKULAM,THIRUVANANTHAPRUAM
LANDMARK BLUEBERRY,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,Residential (Apartment),2021-12-03,2023-12-31,K-RERA/PRJ/KKD/081/2021,2021-12-21,72,57,Completed,Kozhikode,VALAYANAD,Kozhikode
DD JADE TOWER,Desai Rachana Private Limited,Residential (Apartment),2021-11-14,2026-12-31,K-RERA/PRJ/TSR/066/2021,2021-11-09,110,51,Inprogress,Thrissur,POTTORE,Thrissur
CREDENCE APARTMENT,A A ABDUL LATHIF,Residential (Apartment),2017-02-28,2020-08-28,K-RERA/PRJ/162/2021,2021-11-19,62,62,Completed,Thrissur,CHEMBUKAVU,Thrissur
Estilo Eden Luxury Apartments,Estilo Projects Private Limited,Mixed (Commercial & Residential),2014-05-12,2023-06-30,K-RERA/PRJ/195/2021,2022-02-11,48,0,Completed,Kottayam,LALAM,Meenachil
ANTA - MARVEL,ANTA BUILDERS & DEVELOPERS PVT LTD,Residential (Apartment),2014-09-01,2019-12-31,K-RERA/PRJ/ERN/003/2022,2022-01-04,52,52,Completed,Ernakulam,MARADU,Kanayannur
SANROYAL ROSCARA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2019-02-19,2024-02-18,K-RERA/PRJ/337/2020,2022-03-04,36,36,Inprogress,Thiruvananthapuram,ULOOR,THIRUVANANTHAPRUAM
V3 FELIZ CASA,Vthree Homes And Infrastructure India Private Limited,Villas (Plots & Buildings),2020-09-17,2025-02-28,K-RERA/PRJ/PKD/052/2021,2021-09-23,14,14,Completed,Palakkad,PIRIYARI,Palakkad
BOUGAINVILLEA VILLAS,PRIMESPACE PROJECTS PVT LTD,Villas (Plots & Buildings),2018-06-01,2021-03-01,K-RERA/PRJ/KKD/094/2022,2022-05-30,17,16,Completed,Kozhikode,KOTTOOLI,Kozhikode
SANROYAL-JIVANTA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2017-08-25,2023-03-01,K-RERA/PRJ/239/2020,2022-03-07,63,63,Completed,Thrissur,CHITTILAPPILLY,Thrissur
LEVIS CASA,Levi  Thomas,Residential (Apartment),2020-02-01,2024-10-31,K-RERA/PRJ/KNR/058/2021,2021-10-06,15,0,Completed,Kannur,PUZHATHI,Kannur
Indian Oil Officers Cooperative Housing Society Limited Petronest,INDIAN OIL OFFICERS COOPERATIVE HOUSING SOCIETY LIMITED,Residential (Apartment),2017-12-18,2022-07-31,K-RERA/PRJ/ERN/080/2021,2021-12-16,112,112,Completed,Ernakulam,POONITHURA,Kanayannur
Prayag,SREEPATHI ASSOCIATES BUILDERS & PROMOTERS,Residential (Apartment),2021-03-01,2023-06-30,K-RERA/PRJ/TSR/085/2021,2021-12-28,45,13,Completed,Thrissur,GURUVAYUR,Chavakkad
SANROYAL ASTORIA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2017-10-01,2022-03-18,K-RERA/PRJ/176/2021,2022-01-04,78,78,Completed,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
Palmtree Apartments,Pratheeksha Builders LLP,Residential (Apartment),2018-01-01,2022-12-30,K-RERA/PRJ/120/2021,2022-03-07,20,12,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
SIDDHI PRANAVAM,SIDDHI HOMES,Residential (Apartment),2021-12-01,2026-08-05,K-RERA/PRJ/ERN/077/2021,2021-12-01,49,39,Inprogress,Ernakulam,THEKKUMBHAGOM KANAYANNUR,Kanayannur
ERA TRANQUIL,ERA HOMES AND PROJECTS PVT LTD,Residential (Apartment),2017-03-19,2022-12-15,K-RERA/PRJ/200/2021,2022-03-07,20,14,Inprogress,Ernakulam,THEKKUMBHAGOM KANAYANNUR,Kanayannur
Tulsi Capitol pointe,TULSI DEVELOPERS INDIA PRIVATE LIMITED,Residential (Apartment),2014-11-28,2021-12-30,K-RERA/PRJ/309/2020,2022-01-25,56,32,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
FIFTH AVENUE,ABBA REALTORS & BUILDERS COMPANY PRIVATE LIMITED,Villas (Plots & Buildings),2015-05-04,2025-12-31,K-RERA/PRJ/TSR/058/2022,2022-03-30,12,4,Completed,Thrissur,OLLUR,Thrissur
CASADEL GARDENS OF DELIGHT,CASADEL BUILDERS INDIA PRIVATE LIMITED,Villas (Plots & Buildings),2018-10-24,2026-06-26,K-RERA/PRJ/179/2021,2022-03-03,0,8,Completed,Ernakulam,VARAPPUZHA,Paravur
Sophia Elanza,Joyce  George,Villas (Plots & Buildings),2021-05-20,2023-05-20,K-RERA/PRJ/ERN/093/2022,2022-05-28,8,0,Completed,Ernakulam,VENGOLA,Kunnathunad
SOWPARNIKA SUDARSHANAM,Sowparnika Projects & Infrasturcture Pvt Ltd,Mixed (Commercial & Residential),2014-01-13,2022-12-31,K-RERA/PRJ/TSR/091/2022,2022-05-27,152,149,Completed,Thrissur,GURUVAYUR,Chavakkad
MARUTHAM CREST ONE35,MARUTHAM APPARTMENT,Residential (Apartment),2022-01-01,2025-12-31,K-RERA/PRJ/TVM/086/2021,2021-12-31,31,15,Inprogress,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
SOPHIA EVANIA,Joyce  George,Residential (Apartment),2020-02-02,2023-07-11,K-RERA/PRJ/ERN/075/2022,2022-05-04,8,0,Completed,Ernakulam,ELOOR,Paravur
CASADEL TOWNSUITES,CASADELO DEVELOPERS PVT LTD,Mixed (Commercial & Residential),2022-05-20,2027-12-20,K-RERA/PRJ/ERN/131/2022,2022-08-08,54,30,Inprogress,Ernakulam,CHOORNIKKARA,Aluva
Heather ENTICE,Heather Homes Private Limited,Residential (Apartment),2022-04-15,2026-04-14,K-RERA/PRJ/TVM/036/2022,2022-03-07,30,30,Completed,Thiruvananthapuram,VANCHIYOOR,THIRUVANANTHAPRUAM
ASSET DOMINION,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2022-02-02,2026-03-31,K-RERA/PRJ/ERN/022/2022,2022-02-18,78,74,Inprogress,Ernakulam,NADAMA,Kanayannur
TRAVANCORE OPUS HIGHWAY TOWER I,Travancore Builders Pvt Ltd,Residential (Apartment),2012-05-31,2022-09-30,K-RERA/PRJ/ERN/081/2022,2022-05-12,80,39,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
AI BY SREEDHANYA,Sree Dhanya Homes Pvt ltd,Residential (Apartment),2022-02-28,2028-12-31,K-RERA/PRJ/TVM/054/2022,2022-03-24,99,73,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
ORCHID PARK,NEST Realties India Private Limited,Residential (Apartment),2011-01-01,2022-09-30,K-RERA/PRJ/008/2022,2022-07-14,165,80,Inprogress,Kottayam,VIJAYAPURAM,Kottayam
ARCON EXOTICA,ARCON HOME BUILDERS PRIVATE LIMITED,Residential (Apartment),2022-02-01,2027-04-30,K-RERA/PRJ/TVM/085/2022,2022-05-12,55,45,Inprogress,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
